Year,zipcode,PrimaryType,Count
2001,60622,KIDNAPPING,13
2001,60622,LIQUOR LAW VIOLATION,63
2001,60622,MOTOR VEHICLE THEFT,914
2001,60622,NARCOTICS,807
2001,60622,OBSCENITY,1
2001,60622,OFFENSE INVOLVING CHILDREN,39
2001,60622,OTHER OFFENSE,673
2001,60622,PROSTITUTION,518
2001,60622,PUBLIC PEACE VIOLATION,93
2001,60622,ROBBERY,604
2001,60622,SEX OFFENSE,67
2001,60622,STALKING,5
2001,60622,THEFT,3386
2001,60622,WEAPONS VIOLATION,143
2001,60623,ARSON,59
2001,60623,ASSAULT,1126
2001,60623,BATTERY,3917
2001,60623,BURGLARY,882
2001,60623,CRIM SEXUAL ASSAULT,66
2001,60623,CRIMINAL DAMAGE,1739
2001,60623,CRIMINAL TRESPASS,196
2001,60623,DECEPTIVE PRACTICE,201
2001,60623,GAMBLING,16
2001,60623,HOMICIDE,42
2001,60623,INTERFERENCE WITH PUBLIC OFFICER,12
2001,60623,INTIMIDATION,20
2001,60623,KIDNAPPING,22
2001,60623,LIQUOR LAW VIOLATION,59
2001,60623,MOTOR VEHICLE THEFT,1062
2001,60623,NARCOTICS,1881
2001,60623,OFFENSE INVOLVING CHILDREN,108
2001,60623,OTHER OFFENSE,954
2001,60623,PROSTITUTION,70
2001,60623,PUBLIC PEACE VIOLATION,70
2001,60623,ROBBERY,803
2001,60623,SEX OFFENSE,70
2001,60623,STALKING,14
2001,60623,THEFT,2085
2001,60623,WEAPONS VIOLATION,216
2001,60624,ARSON,32
2001,60624,ASSAULT,1094
2001,60624,BATTERY,3776
2001,60624,BURGLARY,557
2001,60624,CRIM SEXUAL ASSAULT,64
2001,60624,CRIMINAL DAMAGE,1348
2001,60624,CRIMINAL TRESPASS,235
2001,60624,DECEPTIVE PRACTICE,230
2001,60624,GAMBLING,40
2001,60624,HOMICIDE,46
2001,60624,INTERFERENCE WITH PUBLIC OFFICER,9
2001,60624,INTIMIDATION,5
2001,60624,KIDNAPPING,19
2001,60624,LIQUOR LAW VIOLATION,23
2001,60624,MOTOR VEHICLE THEFT,784
2001,60624,NARCOTICS,4354
2001,60624,OFFENSE INVOLVING CHILDREN,82
2001,60624,OTHER OFFENSE,731
2001,60624,PROSTITUTION,122
2001,60624,PUBLIC PEACE VIOLATION,101
2001,60624,RITUALISM,1
2001,60624,ROBBERY,885
2001,60624,SEX OFFENSE,40
2001,60624,STALKING,3
2001,60624,THEFT,2262
2001,60624,WEAPONS VIOLATION,188
2001,60625,ARSON,19
2001,60625,ASSAULT,472
2001,60625,BATTERY,1437
2001,60625,BURGLARY,528
2001,60625,CRIM SEXUAL ASSAULT,33
2001,60625,CRIMINAL DAMAGE,1215
2001,60625,CRIMINAL TRESPASS,186
2001,60625,DECEPTIVE PRACTICE,264
2001,60625,GAMBLING,20
2001,60625,HOMICIDE,9
2001,60625,INTERFERENCE WITH PUBLIC OFFICER,14
2001,60625,INTIMIDATION,6
2001,60625,KIDNAPPING,17
2001,60625,LIQUOR LAW VIOLATION,75
2001,60625,MOTOR VEHICLE THEFT,525
2001,60625,NARCOTICS,446
2001,60625,OBSCENITY,1
2001,60625,OFFENSE INVOLVING CHILDREN,39
2001,60625,OTHER OFFENSE,642
2001,60625,PROSTITUTION,128
2001,60625,PUBLIC PEACE VIOLATION,56
2001,60625,ROBBERY,293
2001,60625,SEX OFFENSE,53
2001,60625,STALKING,5
2001,60625,THEFT,1559
2001,60625,WEAPONS VIOLATION,75
2001,60626,ARSON,19
2001,60626,ASSAULT,625
2001,60626,BATTERY,1987
2001,60626,BURGLARY,425
2001,60626,CRIM SEXUAL ASSAULT,59
2001,60626,CRIMINAL DAMAGE,1257
2001,60626,CRIMINAL TRESPASS,288
2001,60626,DECEPTIVE PRACTICE,418
2001,60626,GAMBLING,16
2001,60626,HOMICIDE,8
2001,60626,INTERFERENCE WITH PUBLIC OFFICER,13
2001,60626,INTIMIDATION,4
2001,60626,KIDNAPPING,24
