Year,zipcode,PrimaryType,Count,SurpriseRatio
2007,60602,INTIMIDATION,2,39.06348121
2016,60603,CRIMINAL DAMAGE,99,38.84241094
2008,60633,OTHER NARCOTIC VIOLATION,1,38.65704211
2007,60602,LIQUOR LAW VIOLATION,9,38.31226041
2003,60603,CRIM SEXUAL ASSAULT,5,38.29836221
2012,60603,OTHER OFFENSE,55,38.27426003
2013,60622,NON - CRIMINAL,1,38.03909442
2003,60602,LIQUOR LAW VIOLATION,10,37.9907998
2016,60602,INTIMIDATION,1,37.73177162
2001,60604,INTIMIDATION,1,37.7075709
2016,60644,PROSTITUTION,242,37.28790675
2003,60603,ROBBERY,53,37.19528453
2014,60606,STALKING,2,37.11707725
2004,60603,LIQUOR LAW VIOLATION,3,37.04637514
2014,60603,CRIM SEXUAL ASSAULT,4,36.99942156
2007,60603,KIDNAPPING,1,36.85927224
2009,60604,PUBLIC PEACE VIOLATION,11,36.77296952
2015,60603,OTHER OFFENSE,53,36.76048762
2003,60602,INTERFERENCE WITH PUBLIC OFFICER,3,36.62201363
2011,60657,OTHER NARCOTIC VIOLATION,2,36.34544518
2005,60603,LIQUOR LAW VIOLATION,3,36.30913384
2012,60656,NON-CRIMINAL,1,36.19451587
2008,60604,OTHER OFFENSE,91,36.08176676
2004,60604,OTHER OFFENSE,101,35.98122787
2004,60602,PUBLIC PEACE VIOLATION,18,35.93214003
2004,60602,SEX OFFENSE,13,35.93103224
2014,60602,STALKING,1,35.57567038
2004,60602,LIQUOR LAW VIOLATION,7,35.39508323
2010,60604,OTHER OFFENSE,74,35.36754992
2011,60603,BATTERY,175,35.20829289
2002,60603,ASSAULT,91,35.11576236
2006,60602,LIQUOR LAW VIOLATION,8,35.10550734
2007,60604,PUBLIC PEACE VIOLATION,11,34.90936202
2003,60631,PUBLIC INDECENCY,1,34.89540053
2004,60603,INTIMIDATION,1,34.85260698
2012,60611,NON-CRIMINAL,1,34.80183741
2012,60611,OTHER NARCOTIC VIOLATION,1,34.80183741
2007,60604,SEX OFFENSE,5,34.5838668
2004,60604,CRIMINAL TRESPASS,52,34.37827177
2003,60647,OTHER NARCOTIC VIOLATION,1,34.34852963
2011,60603,OTHER OFFENSE,57,34.34331835
2010,60603,BATTERY,184,34.22111298
2005,60604,INTERFERENCE WITH PUBLIC OFFICER,2,34.21272286
2006,60603,OTHER OFFENSE,76,34.11182833
2016,60603,OTHER OFFENSE,48,33.9922492
2002,60604,SEX OFFENSE,7,33.98379602
2008,60603,KIDNAPPING,1,33.88178228
2003,60602,SEX OFFENSE,14,33.71775336
2002,60603,INTERFERENCE WITH PUBLIC OFFICER,1,33.69407157
2003,60603,INTIMIDATION,1,33.41637318
2002,60621,OTHER NARCOTIC VIOLATION,1,33.39627423
2009,60602,LIQUOR LAW VIOLATION,5,33.38199634
2009,60602,PUBLIC PEACE VIOLATION,21,33.23561199
2011,60603,CRIM SEXUAL ASSAULT,4,33.18843066
2014,60604,SEX OFFENSE,3,33.11777213
2002,60602,OTHER OFFENSE,215,32.84848242
2005,60604,CRIMINAL TRESPASS,52,32.84667899
2009,60622,OTHER NARCOTIC VIOLATION,2,32.60493807
2002,60602,SEX OFFENSE,14,32.17734839
2013,60602,ASSAULT,116,32.14895593
2006,60649,PUBLIC INDECENCY,1,32.13630761
2013,60649,NON-CRIMINAL,1,32.13630761
2011,60611,PUBLIC INDECENCY,2,32.12477299
2016,60602,ROBBERY,77,32.07642412
2012,60602,INTIMIDATION,1,31.92688368
2015,60602,ASSAULT,109,31.85756294
2007,60610,PUBLIC INDECENCY,1,31.79046281
2014,60601,NON-CRIMINAL,1,31.75006618
2007,60603,BATTERY,206,31.48211892
2014,60624,OTHER NARCOTIC VIOLATION,2,31.47426847
2016,60624,PUBLIC INDECENCY,2,31.47426847
2001,60602,OTHER OFFENSE,187,31.40582178
2005,60604,LIQUOR LAW VIOLATION,3,31.40421576
2014,60602,SEX OFFENSE,6,31.357359
2005,60603,KIDNAPPING,1,31.26879136
2005,60604,OTHER OFFENSE,83,31.15435348
2016,60613,OTHER NARCOTIC VIOLATION,1,31.050698
2015,60603,CRIMINAL DAMAGE,73,30.96996506
2015,60633,NON-CRIMINAL,1,30.92563369
2004,60653,OBSCENITY,2,30.84657051
2012,60602,ASSAULT,122,30.53736306
2003,60602,ASSAULT,180,30.41377663
2005,60637,PUBLIC INDECENCY,1,30.28419995
2016,60637,OTHER NARCOTIC VIOLATION,1,30.28419995
2014,60624,PROSTITUTION,312,30.19671514
2004,60604,INTIMIDATION,1,30.1444478
2005,60603,BATTERY,206,29.84247209
2003,60603,INTERFERENCE WITH PUBLIC OFFICER,1,29.81264666
2012,60603,INTERFERENCE WITH PUBLIC OFFICER,3,29.71553706
2004,60603,ROBBERY,39,29.68950017
2007,60603,CRIMINAL DAMAGE,131,29.64569273
2002,60661,OBSCENITY,1,29.59956464
2007,60604,ARSON,2,29.55171989
2006,60604,OTHER OFFENSE,76,29.50373924
2011,60604,SEX OFFENSE,3,29.49648303
2002,60602,ASSAULT,186,29.38962777
2008,60604,KIDNAPPING,1,29.30476958
2011,60604,OTHER OFFENSE,56,29.18283573
2008,60603,BATTERY,182,29.1580666
2016,60661,INTIMIDATION,5,29.15108639
2004,60603,BATTERY,208,29.03597271
2016,60602,ASSAULT,109,28.9878647
2006,60603,BATTERY,191,28.80109005
2013,60603,CRIM SEXUAL ASSAULT,3,28.80085202
2016,60602,STALKING,1,28.78955985
2013,60603,CRIMINAL DAMAGE,73,28.779693
2009,60604,OTHER OFFENSE,70,28.76562867
2003,60602,OTHER OFFENSE,179,28.62318361
2009,60603,BATTERY,161,28.60467316
2013,60602,PUBLIC PEACE VIOLATION,18,28.59671112
2008,60622,OTHER NARCOTIC VIOLATION,3,28.52932081
2004,60602,OTHER OFFENSE,169,28.50294136
2014,60624,NARCOTICS,5244,28.48261611
2010,60604,SEX OFFENSE,3,28.45918561
2015,60602,ROBBERY,55,28.41919929
2002,60603,WEAPONS VIOLATION,10,28.4128938
2001,60604,SEX OFFENSE,6,28.318741
2005,60612,OBSCENITY,3,28.28743742
2015,60624,NARCOTICS,4280,28.25646454
2002,60602,LIQUOR LAW VIOLATION,8,28.17874882
2003,60603,BATTERY,204,28.07737629
2002,60603,BURGLARY,59,28.00804084
2012,60604,PUBLIC PEACE VIOLATION,8,27.98912479
2016,60636,GAMBLING,36,27.91612549
2011,60603,HOMICIDE,1,27.83423304
2015,60624,CONCEALED CARRY LICENSE VIOLATION,6,27.77141335
